Nom,Pere,Mere,croisement,sexe
2011C2_1,Nd5_m,Nd6_f,0,na
2011C2_2,Nd7_m,Nd8_f,0,na
2011Cmoi_f,Nd3_m,Nd4_f,0,femelle
2011Cmoi_m,Nd3_m,Nd4_f,0,male
2012C12_m,Nd21_m,Nd22_f,0,male
2012C12_f,Nd21_m,Nd22_f,0,femelle
2012C14_1,Nd15_m,Nd16_f,0,na
2012C14_2,Nd23_m,Nd24_f,0,na
2012C14_3,Nd27_m,Nd28_f,0,na
2012C15_1,Nd13_m,Nd14_f,0,na
2012C15_2,Nd25_m,Nd26_f,0,na
2012C15_3,Nd19_m,Nd20_f,0,na
2012C2_1,2011C2_m,2011C2_f,0,na
2012C2_2,Nd17_m,Nd18_f,0,na
2012C3_m,Nd1_m,Nd2_f,0,male
2012C7_m,Nd15_m,Nd16_f,0,male
2013C1_1,Nd9_m,Nd10_f,0,na
2013C1_2,2011C_moi_m,2011Cmoi_f,0,na
2013C12_f,2011C12_m,2011C12_f,0,femelle
2013C13_m,2012C14_m,2012C15_f,0,male
2013C13_f,2012C14_m,2012C15_f,0,femelle
2013C15_m,2012C15_m,2011Cmoi_f,0,male
2013C16_f,2012C14_m,2012C15_f,0,femelle
2013C2_f,Nd11_m,Nd12_f,0,femelle
2013C7_m,2012C12_m,2012C14_f,0,male
2013C7_f,2012C12_m,2012C14_f,0,femelle
2013Cchris_m,Nd29_m,Nd30_f,0,male
2014C1_m,2011C_mOI_m,2011CMOI_f,0,male
2014C14_1,2012C2_m,2012C14_f,0,na
2014C14_2,2012C12_m,2012C14_f,0,na
2014C15_f,2013C15_m,2013C7_f,0,femelle
2014C20_f,2013C1_m,2013C16_f,0,femelle
2014C7_m,2012C12_m,2012C14_f,0,male
2014C7_f,2012C12_m,2012C14_f,0,femelle
2015C10_f,2014C14_m,2014C20_f,0,femelle
2015C13_m,2014C16_m,2014C15_f,0,male
2015C14_m,2012C2_m,2012C14_f,0,male
2015C14_f,2012C2_m,2012C14_f,0,femelle
2015C18_f,2012C14_m,2012C12_f,0,femelle
2015C19_m,2012C14_m,2012C15_f,0,male
2015C19_f,2012C14_m,2012C15_f,0,femelle
2015C2_m,2012C3_m,2011Cmoi_f,0,male
2015C20_m,2013C1_m,2013C16_f,0,male
2015C20_f,2013C1_m,2013C16_f,0,femelle
2015C31_m,2013Cchris_m,2013C12_f,0,male
2015C32_m,2013C13_m,2013C13_f,0,male
2015C33_m,2014C7_m,2014C7_f,0,male
2015C34_1,2014C14_m,2014CCGH_f,0,na
2015C34_2,2014C14_m,2014CGH_f,0,na
2015C35_1,2014gh_m,2014GH_f,0,na
2015C35_2,2014cghautir_m,2014cgh_f,0,na
2015C48_f,2014C18_m,2014C20_f,0,femelle
2015C5_1,2012C15_m,2013C13_f,0,na
2015C5_2,2013C15_m,2013C7_f,0,na
2015cmAZIL_m,Nd35_m,Nd36_f,0,male
2015Ma_1,Nd31_m,ND32_f,0,na
2015ma_2,Nd33_m,Nd34_f,0,na
2015Mazil_f,Nd37_m,Nd38_f,0,femelle
Bebe1,2013C7_m,2014gH_f,1,na
Bebe10,2014C14_m,2014C20_f,1,na
Bebe11,2015C31_m,2015C35_f,1,na
Bebe12,2015C2_m,2015C5_f,1,na
Bebe13,2015C13_m,2014C15_f,1,na
Bebe14,2012C2_m,2012C14_f,1,na
Bebe15,2013C15_m,2013C7_f,1,na
Bebe16,2012C2_m,2012C15_f,1,na
Bebe17,2015C2_m,20125C7_f,1,na
Bebe18,2012C12_m,2012C14_f,1,na
Bebe19,2012C15_m,2012C14_f,1,na
Bebe2,2012C3_m,2011Cmoi_f,1,na
Bebe20,2013C1_m,2013C16_f,1,na
Bebe3,2011C2_m,2011C2_f,1,na
Bebe31,2013Cchris_m,2013C12_f,1,na
Bebe32,2013C13_m,2013C13_f,1,na
Bebe33,2014C7_m,2014C7_f,1,na
Bebe34,2014C14_m,2014CGH_f,1,na
Bebe35,2014cgh_m,2014cgh_f,1,na
Bebe36,2015C2_m,2015C35_f,1,na
Bebe37,2015C20_m,2014C4_f,1,na
Bebe38,2015C2_m,2015C35_f,1,na
Bebe39,2015C34_m,2015C48_f,1,na
Bebe4,2013C1_m,2013C2_f,1,na
Bebe40,2015C13_m,2015C18_f,1,na
Bebe41,2014C1_m,2015C19_f,1,na
Bebe42,2015C31_m,2015C34_f,1,na
Bebe43,2015C33_m,2015C35_f,1,na
Bebe44,2014C7_m,2014C14_f,1,na
Bebe45,2015C19_m,2015C20_f,1,na
Bebe46,2015C32_m,2015C10_f,1,na
Bebe47,2014CGH_m,2014CGH_f,1,na
Bebe48,2014C18_m,2015C19_f,1,na
Bebe5,2012C15_m,2013C13_f,1,na
Bebe6,2015C5_m,2015C14_f,1,na
Bebe7,2012C7_m,2015C5_f,1,na
Bebe75,2015ma_m,2015ma_f,1,na
Bebe76,2015cmAZIL_m,2015Mazil_f,1,na
Bebe8,2015C14_m,2015C5_f,1,na
Bebe9,2015C4_m,2015C20_f,1,na
